,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Label,Sep
0,0.886,0.433,0.288,17.334,66.467,154.48,0,0
1,0.843,0.339,0.309,-1.526,68.542,136.108,0,0
2,-0.887,1.04,-3.963,-1971.985,260.925,461.304,0,0
3,-2.111,-4.045,-4.037,-1164.917,119.995,386.658,0,0
4,-2.485,-8.0,-0.541,-721.069,-250.61,47.363,0,0
5,-0.691,-7.051,1.349,428.04,-309.692,-33.142,0,0
6,-1.075,-1.852,-2.086,983.337,-32.715,-163.086,0,0
7,-1.105,-1.735,-2.117,542.542,79.834,-79.834,0,0
8,0.385,0.166,0.02,404.358,-36.926,-111.877,0,0
9,0.108,-0.665,0.477,438.965,-32.715,-181.946,0,0
10,-0.031,-1.725,0.383,610.046,-108.154,-205.2,0,0
11,0.07,-1.261,0.036,817.261,-100.403,-210.022,0,0
12,0.267,-0.816,-0.209,893.005,-91.553,-236.328,0,0
13,0.386,-0.407,-0.257,859.253,-75.256,-244.202,0,0
14,0.406,0.271,0.032,736.877,-28.259,-220.703,0,0
15,0.398,0.503,0.232,616.821,20.203,-154.236,0,0
16,0.272,0.807,0.697,430.481,46.021,-86.67,0,0
17,0.157,0.933,0.9,224.976,31.311,-45.532,0,0
18,0.221,0.859,1.11,117.981,10.376,-37.72,0,0
19,0.261,0.386,1.281,13.062,-8.179,-37.781,0,0
20,0.271,0.168,1.323,4.517,-16.968,-36.438,0,0
21,0.318,0.007,1.218,39.307,-17.212,-33.936,0,0
22,0.358,0.081,1.121,46.814,-15.381,-30.823,0,0
23,0.387,0.143,1.087,37.72,-10.925,-32.166,0,0
24,0.366,0.117,1.116,39.429,-9.155,-35.095,0,0
25,0.321,0.088,1.125,58.411,-10.498,-39.001,0,0
26,0.307,0.101,1.079,82.886,-15.137,-40.771,0,0
27,0.332,0.126,1.061,98.816,-20.02,-45.044,0,0
28,0.364,0.202,1.058,102.295,-17.456,-47.058,0,0
29,0.354,0.341,1.01,93.384,-16.663,-50.232,0,0
30,0.333,0.437,1.003,70.984,-18.433,-51.086,0,0
31,0.276,0.463,1.021,63.904,-45.349,-55.603,0,0
32,0.293,0.469,1.039,44.067,-49.988,-49.561,0,0
