,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Label,Sep
0,0.2,0.278,-0.203,-951.355,-113.525,268.188,0,1
1,-0.251,-0.573,-0.335,-916.748,-126.221,319.946,0,0
2,-0.437,-1.306,-0.343,-736.084,-147.156,342.407,0,0
3,-0.569,-2.633,-0.56,-383.057,-199.524,240.54,0,0
4,-0.384,-2.954,-0.678,-3.357,-222.168,87.83,0,0
5,-0.06,-1.817,-0.862,169.861,-171.448,-26.55,0,0
6,0.124,-1.242,-0.705,165.1,-118.408,-55.725,0,0
7,0.316,-0.853,-0.497,77.82,-26.184,-50.354,0,0
8,0.543,-0.663,-0.151,-7.446,64.27,-17.09,0,0
9,0.576,-0.704,0.025,-56.274,128.174,22.4,0,0
10,0.527,-0.725,0.218,-75.073,127.991,35.95,0,0
11,0.275,-1.028,0.464,-67.566,63.965,29.297,0,0
12,0.307,-1.144,0.525,-14.587,-19.653,-5.737,0,0
13,0.192,-1.349,0.391,75.317,-97.168,-32.471,0,0
14,0.209,-1.25,0.252,130.127,-132.507,-34.302,0,0
15,0.254,-1.155,0.129,136.963,-134.033,-27.893,0,0
16,0.409,-1.063,0.026,117.493,-110.229,-21.179,0,0
17,0.481,-1.064,0.04,93.201,-67.749,-26.428,0,0
18,0.574,-1.038,0.123,77.209,-20.142,-34.973,0,0
19,0.58,-1.019,0.157,71.777,3.967,-37.659,0,0
20,0.591,-0.999,0.179,74.463,26.245,-36.133,0,0
21,0.56,-0.903,0.196,82.214,34.119,-27.588,0,0
22,0.482,-0.864,0.192,76.416,28.931,-9.705,0,0
23,0.404,-0.81,0.25,55.42,17.212,5.127,0,0
24,0.363,-0.892,0.249,49.011,3.052,6.775,0,0
25,0.357,-0.976,0.245,65.063,-19.104,-4.639,0,0
26,0.364,-1.009,0.195,96.13,-35.828,-21.606,0,0
27,0.306,-0.984,0.151,116.211,-40.894,-26.001,0,0
28,0.205,-0.947,0.113,111.633,-39.246,-19.775,0,0
29,0.146,-0.924,0.045,93.689,-29.968,-13.306,0,0
30,0.142,-0.949,0.034,84.351,-18.433,-18.433,0,0
31,0.127,-0.971,-0.017,90.515,-5.676,-30.09,0,0
32,0.147,-0.922,-0.016,101.257,9.094,-46.631,0,0
33,0.144,-0.855,-0.015,107.788,16.785,-57.129,0,0
34,0.208,-0.655,0.046,113.586,29.846,-69.397,0,0
35,0.22,-0.558,0.056,112.122,38.269,-69.641,0,0
36,0.23,-0.377,0.082,103.088,43.579,-63.538,0,0
37,0.18,-0.356,0.066,96.558,37.781,-52.551,0,0
38,0.152,-0.33,0.053,92.896,32.471,-43.335,0,0
39,0.119,-0.315,0.023,88.013,29.48,-23.132,0,0
40,0.15,-0.286,0.046,75.439,49.316,-2.747,0,0
41,0.107,-0.317,0.157,63.66,81.482,12.573,0,0
42,0.126,-0.362,0.228,61.829,99.915,17.151,0,0
43,0.127,-0.395,0.281,67.749,122.437,14.648,0,0
44,0.149,-0.311,0.497,79.224,138.489,-5.798,0,0
45,0.158,-0.22,0.637,93.933,147.217,-31.616,0,0
46,0.113,0.056,0.855,104.37,142.212,-42.664,0,0
47,0.087,0.184,0.917,104.37,133.789,-35.095,0,0
48,0.102,0.279,0.971,95.032,118.652,-12.573,0,0
49,0.186,0.355,1.082,83.984,107.117,5.31,0,0
50,0.227,0.38,1.144,73.303,107.361,11.536,0,0
51,0.24,0.403,1.204,68.542,111.328,13.489,0,0
