,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Label,Sep
0,-0.212,-2.055,0.067,-213.867,-23.315,-31.799,0,1
1,-0.205,-1.882,0.032,58.044,-102.051,-6.836,0,0
2,-0.075,-1.55,-0.17,394.592,-162.109,52.612,0,0
3,0.218,-0.897,-0.394,528.015,-125.916,105.774,0,0
4,0.24,-0.8,-0.263,509.338,-67.749,111.267,0,0
5,0.232,-0.819,-0.011,467.834,-44.983,92.834,0,0
6,-0.028,-0.983,0.328,435.608,-57.617,45.715,0,0
7,-0.1,-1.062,0.487,465.088,-100.769,27.771,0,0
8,-0.082,-1.119,0.643,554.565,-158.02,27.588,0,0
9,0.005,-1.005,0.617,614.075,-188.232,14.038,0,0
10,0.119,-0.761,0.567,600.708,-183.777,2.258,0,0
11,0.425,-0.079,0.685,481.323,-149.719,-22.949,0,0
12,0.49,0.259,0.772,265.991,-95.215,-45.288,0,0
13,0.382,0.523,0.873,25.757,-35.767,-44.922,0,0
14,0.338,0.298,0.894,-128.174,2.319,-37.781,0,0
15,0.341,0.006,0.915,-166.626,13.672,-36.56,0,0
16,0.356,-0.372,0.947,-147.705,18.127,-33.325,0,0
17,0.332,-0.44,0.943,-90.21,13.367,-26.245,0,0
18,0.301,-0.435,0.905,-29.297,6.042,-17.09,0,0
19,0.301,-0.411,0.913,3.296,3.54,-14.709,0,0
20,0.278,-0.377,0.897,35.645,1.221,-15.076,0,0
21,0.26,-0.295,0.885,43.335,4.7,-17.944,0,0
22,0.248,-0.276,0.888,35.278,12.573,-19.531,0,0
23,0.235,-0.282,0.922,22.339,20.996,-22.034,0,0
24,0.239,-0.291,0.946,15.93,26.917,-23.01,0,0
25,0.249,-0.293,0.977,11.841,31.982,-22.522,0,0
26,0.264,-0.325,0.994,11.902,30.579,-17.822,0,0
27,0.264,-0.385,0.994,14.221,22.4,-16.357,0,0
28,0.269,-0.468,0.995,24.963,15.625,-18.25,0,0
29,0.306,-0.513,1.025,44.922,10.803,-25.391,0,0
30,0.325,-0.474,1.053,57.495,15.747,-33.508,0,0
31,0.365,-0.328,1.114,52.551,24.475,-38.574,0,0
32,0.355,-0.282,1.138,30.396,26.306,-38.391,0,0
33,0.341,-0.272,1.169,10.559,19.836,-38.696,0,0
34,0.309,-0.239,1.297,-17.151,-0.61,-39.307,0,0
35,0.304,-0.225,1.342,-42.053,-18.494,-38.269,0,0
36,0.328,-0.256,1.385,-57.495,-27.71,-33.997,0,0
