,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Label,Sep
0,0.592,0.289,0.254,-772.461,248.108,313.782,0,1
1,0.5,-0.139,0.204,-818.359,264.465,312.866,0,0
2,0.418,-0.458,0.153,-838.135,271.545,290.71,0,0
3,0.51,-0.829,0.099,-798.401,295.41,252.808,0,0
4,0.381,-1.177,0.253,-665.833,267.578,195.557,0,0
5,-0.152,-2.616,0.663,-318.787,166.748,104.248,0,0
6,-0.257,-2.579,0.694,-42.786,80.872,19.043,0,0
7,-0.249,-2.253,0.527,299.5,-39.917,-90.942,0,0
8,0.043,-1.221,0.128,491.76,-107.056,-152.71,0,0
9,0.298,-0.748,0.122,540.1,-126.465,-170.166,0,0
10,0.552,-0.105,0.213,493.042,-127.869,-163.574,0,0
11,0.62,0.034,0.305,447.021,-124.756,-153.442,0,0
12,0.612,0.093,0.408,384.277,-125.366,-139.099,0,0
13,0.504,0.167,0.568,338.074,-117.249,-106.14,0,0
14,0.511,0.206,0.601,301.88,-108.887,-65.674,0,0
15,0.546,0.25,0.617,272.949,-99.976,-41.748,0,0
16,0.592,0.372,0.65,221.985,-81.482,-14.954,0,0
17,0.599,0.425,0.667,163.94,-60.547,2.38,0,0
18,0.583,0.401,0.7,115.356,-41.565,16.907,0,0
19,0.572,0.344,0.707,86.548,-27.161,31.128,0,0
20,0.539,0.278,0.706,81.665,-20.508,41.199,0,0
21,0.481,0.156,0.675,91.858,-16.052,53.284,0,0
22,0.468,0.118,0.654,112.976,-16.846,60.486,0,0
23,0.47,0.121,0.613,133.362,-19.409,65.186,0,0
24,0.449,0.12,0.594,141.968,-23.437,67.078,0,0
25,0.446,0.136,0.577,145.63,-25.024,71.594,0,0
26,0.426,0.103,0.557,150.024,-25.879,78.918,0,0
27,0.416,0.075,0.532,157.776,-24.353,85.571,0,0
28,0.437,0.08,0.482,160.095,-17.212,89.783,0,0
29,0.441,0.071,0.45,157.166,-10.437,92.285,0,0
30,0.445,0.065,0.43,143.921,3.357,99.67,0,0
31,0.426,-0.025,0.392,126.282,20.447,110.107,0,0
32,0.405,-0.066,0.386,106.201,39.185,117.31,0,0
33,0.381,-0.11,0.38,94.482,49.622,117.249,0,0
34,0.345,-0.239,0.371,83.313,62.012,111.206,0,0
35,0.327,-0.283,0.379,79.224,72.266,99.67,0,0
36,0.328,-0.352,0.406,80.688,82.703,85.51,0,0
37,0.336,-0.36,0.424,83.984,90.637,72.388,0,0
38,0.329,-0.396,0.452,88.562,97.168,65.918,0,0
39,0.329,-0.368,0.532,91.98,110.352,56.396,0,0
40,0.331,-0.356,0.579,86.243,122.131,47.974,0,0
41,0.336,-0.334,0.677,69.031,132.019,40.649,0,0
42,0.344,-0.327,0.724,46.936,139.221,33.569,0,0
43,0.349,-0.337,0.756,32.471,143.677,29.236,0,0
44,0.296,-0.409,0.824,15.503,148.56,23.804,0,0
45,0.269,-0.469,0.854,7.141,151.367,18.616,0,0
46,0.229,-0.549,0.963,3.479,152.344,8.85,0,0
47,0.235,-0.571,1.032,3.845,151.733,-0.854,0,0
48,0.246,-0.584,1.093,6.409,147.4,-19.348,0,0
49,0.207,-0.629,1.175,12.451,137.085,-35.339,0,0
50,0.216,-0.606,1.216,17.7,127.747,-51.086,0,0
51,0.333,-0.435,1.341,21.179,123.23,-74.951,0,0
52,0.417,-0.264,1.429,18.311,122.62,-96.68,0,0
53,0.451,-0.108,1.52,3.601,122.437,-118.225,0,0
54,0.487,0.161,1.662,-17.273,115.417,-114.99,0,0
55,0.499,0.204,1.694,-37.17,97.595,-97.29,0,0
56,0.506,0.181,1.71,-44.312,80.75,-88.44,0,0
57,0.497,0.105,1.7,-46.326,54.199,-88.379,0,0
58,0.491,0.089,1.678,-44.067,30.457,-98.816,0,0
59,0.471,0.106,1.621,-44.189,13.733,-108.154,0,0
60,0.467,0.103,1.58,-42.358,3.052,-116.638,0,0
61,0.46,0.103,1.529,-37.598,-0.854,-123.962,0,0
62,0.433,0.115,1.464,-36.804,-6.226,-134.705,0,0
63,0.41,0.114,1.455,-45.105,-10.559,-141.724,0,0
64,0.317,0.096,1.443,-50.72,-21.79,-134.338,0,0
65,0.275,0.027,1.4,-46.082,-31.067,-128.174,0,0
66,0.236,-0.099,1.346,-12.329,-45.776,-128.662,0,0
67,0.184,-0.149,1.264,35.4,-59.57,-141.907,0,0
68,0.177,-0.086,1.217,72.571,-70.557,-156.128,0,0
69,0.173,0.038,1.166,84.9,-74.402,-173.767,0,0
70,0.147,0.108,1.146,80.383,-75.012,-181.213,0,0
71,0.119,0.133,1.133,59.204,-71.045,-168.457,0,0
72,0.06,0.251,1.087,20.264,-71.35,-132.629,0,0
73,0.062,0.225,1.042,-29.114,-75.378,-108.765,0,0
74,0.04,0.054,0.994,-65.857,-78.979,-106.445,0,0
75,0.055,-0.027,0.977,-69.458,-82.031,-115.295,0,0
76,0.034,-0.082,0.944,-45.532,-82.458,-124.939,0,0
77,0.043,-0.016,0.918,-4.333,-79.834,-130.676,0,0
78,0.048,0.101,0.912,27.527,-76.233,-128.235,0,0
79,0.07,0.21,0.905,40.588,-72.693,-118.958,0,0
80,0.129,0.435,0.935,46.631,-63.782,-102.173,0,0
81,0.155,0.508,0.967,38.574,-52.856,-86.548,0,0
82,0.164,0.574,1.054,24.597,-44.556,-76.599,0,0
83,0.155,0.575,1.094,12.207,-42.175,-66.223,0,0
84,0.131,0.578,1.131,7.935,-44.128,-58.716,0,0
85,0.069,0.532,1.167,11.292,-53.65,-46.143,0,0
86,0.053,0.525,1.167,22.888,-67.2,-31.921,0,0
87,0.073,0.528,1.133,36.865,-82.275,-19.47,0,0
88,0.111,0.545,1.105,42.664,-89.233,-13.489,0,0
89,0.144,0.559,1.073,43.396,-92.407,-2.991,0,0
90,0.183,0.576,1.019,37.17,-90.21,8.484,0,0
91,0.199,0.563,0.994,29.663,-85.51,20.935,0,0
92,0.228,0.515,0.936,23.987,-81.909,28.87,0,0
93,0.247,0.493,0.909,22.766,-79.285,32.898,0,0
94,0.263,0.476,0.882,23.804,-75.684,37.903,0,0
95,0.311,0.446,0.83,27.832,-72.754,41.016,0,0
96,0.336,0.428,0.809,34.912,-68.726,43.701,0,0
97,0.356,0.417,0.78,40.833,-66.528,45.166,0,0
98,0.396,0.393,0.72,49.683,-62.317,47.18,0,0
99,0.411,0.391,0.7,57.129,-58.716,49.316,0,1
100,0.867,0.719,0.543,-162.048,67.688,35.583,0,0
101,0.882,0.726,0.573,-238.525,90.82,52.063,0,0
102,0.781,0.52,0.563,-303.223,118.225,69.092,0,0
103,0.707,0.367,0.587,-349.365,138.916,73.914,0,0
104,0.641,0.226,0.642,-377.991,148.621,67.139,0,0
105,0.557,0.1,0.662,-431.091,160.278,53.65,0,0
106,0.532,0.175,0.639,-512.512,188.721,60.242,0,0
107,0.556,0.247,0.486,-642.029,225.952,84.595,0,0
108,0.464,0.027,0.353,-730.591,263.428,110.596,0,0
109,0.292,-0.363,0.318,-733.032,275.33,118.896,0,0
110,-0.029,-1.223,0.496,-640.259,261.719,104.126,0,0
111,-0.201,-1.547,0.672,-441.528,192.383,62.5,0,0
112,-0.376,-1.896,1.006,-185.425,63.11,18.005,0,0
113,-0.436,-1.824,0.993,2.502,-41.26,-5.188,0,0
114,-0.343,-1.587,0.849,239.99,-176.331,-24.414,0,0
115,-0.012,-1.119,0.495,396.179,-252.441,-29.907,0,0
116,0.066,-0.961,0.388,490.784,-296.326,-23.315,0,0
117,0.2,-0.644,0.256,546.448,-317.505,-12.085,0,0
118,0.283,-0.522,0.228,560.364,-325.5,-4.578,0,0
119,0.362,-0.407,0.199,544.983,-317.81,6.653,0,0
120,0.559,-0.044,0.235,469.849,-277.527,15.015,0,0
121,0.622,0.05,0.303,357.727,-219.177,20.508,0,0
122,0.634,0.071,0.366,284.363,-171.265,25.574,0,0
123,0.686,0.095,0.427,183.716,-95.215,29.663,0,0
124,0.712,0.055,0.446,104.98,-27.405,30.457,0,0
125,0.627,-0.094,0.501,64.88,17.517,31.128,0,0
126,0.503,-0.19,0.534,70.984,32.532,34.729,0,0
127,0.403,-0.264,0.558,92.407,28.442,37.109,0,0
128,0.365,-0.319,0.547,129.883,13.428,37.17,0,0
129,0.357,-0.306,0.543,153.809,-8.484,34.973,0,0
130,0.35,-0.304,0.518,163.147,-23.437,29.358,0,0
131,0.391,-0.29,0.503,165.771,-26.855,26.611,0,0
132,0.457,-0.244,0.488,160.889,-18.005,18.616,0,0
133,0.554,-0.163,0.489,140.015,4.578,9.521,0,0
134,0.558,-0.091,0.51,108.398,29.175,0.732,0,0
135,0.513,-0.041,0.57,76.172,49.133,-4.578,0,0
136,0.506,-0.051,0.6,63.049,55.115,-5.92,0,0
137,0.486,-0.083,0.621,57.922,51.025,-5.127,0,0
138,0.518,-0.133,0.615,58.533,39.307,-4.333,0,0
139,0.546,-0.124,0.617,59.692,32.227,-8.057,0,0
140,0.538,-0.133,0.622,63.538,30.823,-9.583,0,0
141,0.552,-0.096,0.614,65.063,32.532,-12.634,0,0
142,0.536,-0.073,0.612,61.401,42.297,-14.038,0,0
143,0.701,0.058,0.655,49.927,60.791,-26.978,0,0
144,0.768,0.142,0.692,27.222,80.994,-33.63,0,0
145,0.786,0.195,0.732,11.597,88.562,-28.931,0,0
146,0.736,0.13,0.803,0.061,88.257,-17.578,0,0
147,0.726,0.065,0.829,4.578,82.092,-13.184,0,0
148,0.75,0.015,0.855,11.658,83.252,-18.799,0,0
149,0.756,0.032,0.868,10.498,89.172,-27.1,0,0
150,0.776,0.078,0.894,4.639,95.825,-31.616,0,0
151,0.771,0.125,0.964,-6.287,105.957,-32.898,0,0
152,0.75,0.123,1.0,-19.897,112.366,-32.898,0,0
153,0.666,0.064,1.091,-31.799,110.901,-36.865,0,0
154,0.614,0.009,1.141,-34.302,106.934,-39.368,0,0
155,0.553,-0.061,1.183,-30.09,95.947,-45.105,0,0
156,0.451,-0.163,1.229,-21.606,80.811,-55.969,0,0
157,0.439,-0.154,1.247,-16.541,67.871,-71.106,0,0
158,0.491,0.042,1.269,-25.085,62.439,-83.191,0,0
159,0.49,0.093,1.284,-35.034,60.669,-86.182,0,0
160,0.481,0.097,1.293,-44.8,55.298,-89.905,0,0
161,0.404,0.042,1.275,-44.861,46.509,-95.093,0,0
162,0.344,-0.012,1.263,-30.334,31.921,-97.778,0,0
163,0.289,-0.038,1.259,-14.465,20.203,-100.769,0,0
164,0.262,0.047,1.228,1.404,7.019,-105.591,0,0
165,0.268,0.113,1.211,1.526,2.625,-110.291,0,0
166,0.224,0.181,1.187,-6.714,1.404,-112.122,0,0
167,0.218,0.185,1.166,-11.78,-1.892,-112.976,0,0
168,0.232,0.208,1.138,-14.771,-2.441,-113.098,0,0
169,0.232,0.218,1.117,-14.709,-1.221,-112.183,0,0
170,0.228,0.239,1.111,-9.644,0.122,-110.84,0,0
171,0.199,0.262,1.109,-4.456,-0.793,-107.3,0,0
172,0.198,0.276,1.093,-4.761,-1.892,-105.164,0,0
173,0.185,0.286,1.083,-11.902,-2.686,-102.844,0,0
174,0.124,0.243,1.073,-16.724,-5.493,-99.121,0,0
175,0.096,0.225,1.069,-12.451,-12.207,-96.436,0,0
176,0.056,0.225,1.08,-1.16,-19.348,-93.262,0,0
177,0.057,0.261,1.081,4.517,-22.644,-91.858,0,0
178,0.058,0.296,1.097,7.507,-23.743,-88.257,0,0
179,0.054,0.39,1.136,1.282,-23.193,-84.778,0,0
180,0.057,0.425,1.143,-13.306,-22.827,-77.637,0,0
181,0.074,0.442,1.142,-26.428,-24.231,-70.618,0,0
182,0.074,0.425,1.141,-27.344,-26.672,-66.162,0,0
183,0.082,0.439,1.133,-24.353,-31.128,-61.096,0,0
184,0.088,0.5,1.115,-23.865,-36.377,-54.443,0,0
185,0.083,0.502,1.103,-23.865,-42.908,-47.791,0,0
186,0.081,0.5,1.095,-23.743,-46.387,-42.725,0,0
187,0.14,0.499,1.062,-24.17,-49.377,-35.156,0,0
188,0.163,0.494,1.039,-25.391,-49.072,-30.151,0,0
189,0.173,0.475,1.016,-24.597,-49.194,-26.184,0,0
190,0.18,0.472,1.0,-22.888,-48.218,-22.705,0,0
191,0.194,0.464,0.986,-20.691,-47.791,-21.545,0,0
192,0.26,0.466,0.99,-14.648,-46.997,-16.357,0,0
193,0.27,0.477,0.999,-9.46,-48.279,-7.69,0,0
194,0.272,0.478,0.988,-5.554,-53.65,1.221,0,0
195,0.256,0.459,0.979,-2.93,-57.556,7.202,0,0
196,0.248,0.438,0.962,2.808,-64.392,14.16,0,0
197,0.234,0.386,0.946,13.0,-67.444,19.714,0,0
198,0.237,0.383,0.936,24.536,-66.345,25.452,0,1
199,0.241,0.366,0.93,34.79,-60.852,28.992,0,0
200,0.388,-0.351,0.765,-746.704,181.885,-158.203,0,0
201,0.3,-0.691,0.874,-705.994,169.739,-160.339,0,0
202,0.199,-0.985,1.009,-584.412,109.497,-155.518,0,0
203,0.084,-1.283,1.237,-412.354,1.404,-142.822,0,0
204,0.107,-1.343,1.25,-194.031,-108.215,-117.126,0,0
205,0.135,-1.339,1.167,-37.598,-170.288,-88.135,0,0
206,0.323,-1.108,0.832,176.147,-233.398,-50.476,0,0
207,0.361,-0.991,0.671,344.971,-261.23,-22.583,0,0
208,0.463,-0.827,0.373,480.469,-265.259,-7.446,0,0
209,0.423,-0.726,0.298,563.416,-256.287,-12.146,0,0
210,0.484,-0.55,0.236,592.59,-244.995,-17.395,0,0
211,0.556,-0.179,0.223,587.158,-220.154,-21.606,0,0
212,0.622,-0.012,0.243,547.852,-188.049,-18.677,0,0
213,0.716,0.246,0.297,484.68,-152.527,-6.958,0,0
214,0.763,0.356,0.297,429.382,-124.146,5.737,0,0
215,0.817,0.445,0.298,333.74,-75.073,27.161,0,0
216,0.81,0.514,0.332,237.0,-23.804,53.284,0,0
217,0.771,0.488,0.347,150.269,20.752,75.928,0,0
218,0.657,0.405,0.352,86.365,53.223,90.698,0,0
219,0.586,0.313,0.362,58.655,66.284,95.093,0,0
220,0.535,0.164,0.369,51.147,73.608,95.52,0,0
221,0.461,-0.069,0.377,75.745,68.787,92.224,0,0
222,0.432,-0.107,0.376,113.342,60.364,86.792,0,0
223,0.415,-0.124,0.358,135.559,57.373,83.13,0,0
224,0.419,-0.068,0.363,156.128,56.396,79.956,0,0
225,0.427,-0.034,0.383,161.316,53.589,79.529,0,0
226,0.452,-0.027,0.388,156.86,50.049,82.581,0,0
227,0.464,-0.005,0.386,143.494,49.683,82.397,0,0
228,0.479,0.005,0.384,129.517,52.429,78.003,0,0
229,0.49,-0.033,0.402,107.422,61.401,68.481,0,0
230,0.476,-0.04,0.424,89.417,71.411,56.519,0,0
231,0.427,-0.107,0.477,82.336,79.651,46.875,0,0
232,0.43,-0.111,0.493,77.515,85.938,37.659,0,0
