,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Label,Sep
0,0.483,-0.153,0.86,-232.178,-32.349,49.988,0,0
1,0.549,-0.193,0.8,-297.119,-26.978,62.988,0,0
2,0.294,-0.001,0.023,124.207,-1.038,91.125,0,0
3,0.298,-0.061,0.019,117.004,0.854,85.999,0,0
4,0.301,-0.115,-0.0,108.765,8.362,78.979,0,0
5,0.318,-0.144,0.006,106.079,18.494,71.472,0,0
6,0.344,-0.17,0.037,104.858,29.846,65.125,0,0
7,0.353,-0.173,0.053,104.065,37.842,60.242,0,0
8,0.371,-0.189,0.066,103.027,41.87,58.96,0,0
9,0.465,-0.188,0.107,99.121,48.218,56.824,0,0
10,0.497,-0.193,0.118,89.966,59.692,55.298,0,0
11,0.503,-0.206,0.15,76.355,72.51,53.711,0,0
12,0.485,-0.232,0.185,64.392,78.918,53.711,0,0
13,0.489,-0.268,0.222,48.462,86.609,55.664,0,0
14,0.601,-0.347,0.266,34.973,93.933,53.65,0,0
15,0.618,-0.371,0.288,25.33,103.821,47.729,0,0
16,0.585,-0.394,0.344,17.578,113.708,41.138,0,0
17,0.563,-0.405,0.376,11.719,118.652,38.635,0,0
18,0.541,-0.417,0.405,-0.305,123.535,38.94,0,0
19,0.715,-0.418,0.466,-12.146,125.793,35.95,0,0
20,0.783,-0.426,0.495,-21.057,130.188,28.748,0,0
21,0.827,-0.414,0.514,-26.672,134.155,23.987,0,0
22,0.826,-0.432,0.605,-31.982,140.198,21.057,0,0
23,0.774,-0.447,0.653,-40.71,136.78,26.611,0,0
24,0.823,-0.516,0.786,-52.551,126.709,35.767,0,0
25,0.875,-0.53,0.845,-66.711,115.54,37.17,0,0
26,0.962,-0.519,0.871,-77.698,112.427,28.809,0,0
27,1.055,-0.531,0.886,-90.637,112.549,10.559,0,0
28,1.059,-0.542,0.893,-95.947,111.877,-6.165,0,0
29,1.009,-0.582,0.932,-95.764,107.056,-15.259,0,0
30,1.006,-0.584,0.957,-93.14,95.947,-21.179,0,0
31,0.993,-0.597,0.978,-93.506,85.876,-24.109,0,0
32,1.085,-0.51,1.025,-98.389,74.951,-37.415,0,0
33,1.103,-0.482,1.029,-106.995,69.763,-55.237,0,0
34,1.087,-0.46,1.036,-111.511,65.552,-75.989,0,0
35,1.042,-0.429,1.042,-110.291,61.951,-89.111,0,0
36,1.022,-0.382,1.051,-101.44,54.688,-111.023,0,0
37,0.961,-0.272,1.057,-93.079,43.701,-126.343,0,0
