,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Label,Sep
0,0.645,0.577,0.384,-352.722,-20.02,233.643,0,1
1,0.456,0.353,0.255,-440.43,-20.447,279.968,0,0
2,0.296,0.307,0.136,-509.155,-16.418,304.871,0,0
3,0.232,0.12,-0.036,-606.506,-12.573,321.35,0,0
4,0.301,0.016,-0.488,-705.688,16.296,330.383,0,0
5,0.273,0.22,-0.843,-871.338,80.994,344.36,0,0
6,0.083,-0.184,-1.503,-1001.587,139.465,344.299,0,0
7,-0.096,-0.745,-1.488,-989.258,152.527,327.942,0,0
8,-0.229,-1.236,-1.28,-813.11,114.929,285.95,0,0
9,-0.425,-2.221,-0.626,-479.126,21.545,210.815,0,0
10,-0.396,-2.377,-0.506,-68.542,-93.628,104.431,0,0
11,-0.175,-2.255,-0.594,161.194,-133.179,37.17,0,0
12,0.111,-1.64,-0.801,388.916,-133.118,-41.321,0,0
13,0.213,-1.319,-0.794,490.051,-91.492,-101.135,0,0
14,0.235,-1.087,-0.56,527.283,-44.556,-150.757,0,0
15,0.224,-1.1,-0.347,558.105,-23.499,-198.608,0,0
16,0.211,-1.078,-0.152,579.773,-27.588,-233.459,0,0
17,0.257,-0.951,0.193,625.488,-45.166,-282.593,0,0
18,0.237,-0.736,0.309,672.18,-85.754,-309.692,0,0
19,0.38,0.07,0.358,678.223,-128.296,-286.133,0,0
20,0.583,0.493,0.432,609.497,-145.264,-231.323,0,0
21,0.719,0.733,0.496,547.607,-145.752,-197.937,0,0
22,0.751,0.964,0.533,452.759,-146.545,-156.372,0,0
23,0.777,1.05,0.499,351.013,-134.827,-111.816,0,0
24,0.852,1.209,0.392,238.647,-107.178,-59.692,0,0
25,0.881,1.197,0.358,161.621,-81.787,-26.123,0,0
26,0.888,1.107,0.329,66.589,-41.321,16.052,0,0
27,0.827,0.792,0.276,15.015,-8.362,47.302,0,0
28,0.776,0.627,0.269,5.066,14.893,69.58,0,0
29,0.661,0.344,0.281,21.729,27.039,78.125,0,0
30,0.605,0.185,0.304,45.654,30.273,77.332,0,0
31,0.545,0.055,0.331,94.421,27.832,69.275,0,0
32,0.451,-0.096,0.355,141.418,17.822,56.274,0,0
33,0.466,-0.077,0.35,161.194,12.512,45.593,0,0
34,0.501,-0.033,0.341,152.649,15.686,43.152,0,0
35,0.55,0.005,0.327,119.446,26.855,46.204,0,0
36,0.534,-0.048,0.329,82.336,38.33,47.546,0,0
37,0.482,-0.227,0.341,60.791,50.72,43.579,0,0
38,0.461,-0.304,0.347,57.129,60.303,31.86,0,0
39,0.461,-0.374,0.351,61.096,65.369,21.24,0,0
40,0.461,-0.428,0.362,67.139,73.181,5.859,0,0
41,0.456,-0.438,0.373,64.941,79.285,-7.263,0,0
42,0.431,-0.445,0.394,51.147,85.205,-21.24,0,0
43,0.425,-0.489,0.398,41.077,86.792,-31.677,0,0
44,0.428,-0.526,0.401,30.64,88.196,-50.72,0,0
45,0.45,-0.623,0.411,29.114,86.67,-71.96,0,0
46,0.472,-0.625,0.422,27.1,89.233,-92.773,0,0
47,0.552,-0.509,0.514,15.442,98.572,-114.929,0,0
48,0.638,-0.418,0.619,1.709,108.337,-134.399,0,0
49,0.705,-0.32,0.74,-24.048,125.61,-161.926,0,0
50,0.724,-0.152,0.994,-46.692,130.005,-172.852,0,0
51,0.728,-0.099,1.14,-60.73,120.483,-171.021,0,0
52,0.764,0.046,1.422,-68.237,97.229,-169.617,0,0
53,0.811,0.116,1.516,-71.289,79.163,-169.373,0,0
54,0.859,0.2,1.59,-76.843,54.443,-169.922,0,0
55,0.933,0.329,1.655,-83.069,34.302,-172.546,0,0
56,0.928,0.393,1.656,-86.182,15.503,-177.734,0,0
57,0.935,0.481,1.646,-85.999,2.747,-185.242,0,0
58,0.925,0.699,1.6,-82.214,-18.005,-191.833,0,0
59,0.907,0.819,1.559,-79.712,-40.466,-188.599,0,0
60,0.873,0.989,1.485,-74.707,-60.364,-176.941,0,0
61,0.843,1.058,1.44,-66.589,-80.322,-162.476,0,0
62,0.802,1.098,1.394,-59.998,-89.966,-150.33,0,0
63,0.761,1.138,1.271,-52.429,-104.431,-134.521,0,0
64,0.742,1.129,1.231,-47.791,-110.718,-119.141,0,0
65,0.743,1.091,1.126,-44.495,-113.586,-105.103,0,0
66,0.728,1.065,1.097,-42.175,-114.99,-96.375,0,0
67,0.709,1.046,1.07,-37.72,-117.859,-83.374,0,0
68,0.667,0.985,1.001,-32.654,-121.948,-67.2,0,0
69,0.652,0.953,0.965,-29.175,-125.0,-52.551,0,0
70,0.613,0.805,0.928,-23.56,-125.61,-42.48,0,0
71,0.583,0.753,0.902,-19.592,-126.709,-37.964,0,0
72,0.568,0.705,0.874,-13.0,-126.648,-34.18,0,0
73,0.535,0.64,0.812,-6.042,-125.305,-32.715,0,0
74,0.521,0.625,0.787,-1.526,-120.422,-29.785,0,0
75,0.504,0.617,0.773,-0.671,-116.15,-25.818,0,0
76,0.458,0.625,0.727,-2.686,-112.122,-17.029,0,0
77,0.448,0.616,0.696,-5.31,-109.802,-7.263,0,0
78,0.455,0.582,0.63,-6.165,-106.018,-3.967,0,0
79,0.456,0.573,0.606,-2.136,-101.501,-5.737,0,0
80,0.455,0.576,0.583,3.479,-98.755,-7.69,0,0
81,0.447,0.602,0.538,17.212,-96.313,-9.827,0,0
82,0.464,0.626,0.513,34.851,-93.14,-9.766,0,0
83,0.501,0.692,0.467,52.734,-89.905,-7.629,0,0
84,0.515,0.736,0.446,66.101,-84.839,-2.014,0,0
85,0.544,0.778,0.422,71.35,-80.872,3.723,0,0
86,0.574,0.828,0.395,75.134,-75.562,16.052,0,0
87,0.588,0.829,0.373,74.951,-70.007,32.043,0,0
88,0.628,0.769,0.326,73.73,-62.622,46.387,0,0
89,0.639,0.71,0.299,74.036,-57.007,53.833,0,0
90,0.641,0.646,0.274,77.881,-48.828,61.707,0,0
91,0.635,0.566,0.243,82.703,-38.879,66.589,0,0
92,0.631,0.536,0.233,83.801,-28.503,70.74,0,0
93,0.611,0.484,0.225,79.407,-21.118,73.792,0,0
94,0.593,0.45,0.228,73.059,-17.822,74.463,0,0
95,0.579,0.415,0.233,63.049,-16.296,75.989,0,0
96,0.563,0.298,0.241,58.594,-15.564,77.515,0,0
97,0.561,0.237,0.246,63.232,-14.954,72.876,0,0
98,0.569,0.191,0.255,69.885,-11.78,67.383,0,0
99,0.587,0.16,0.254,77.759,-5.493,62.317,0,1
100,0.596,0.163,0.254,73.73,2.014,58.533,0,0
101,0.598,0.149,0.283,61.157,8.118,54.26,0,0
102,0.867,2.865,0.221,-297.913,29.419,18.738,0,0
103,0.736,2.979,0.179,-521.667,35.095,198.303,0,0
104,0.678,2.542,0.14,-625.61,36.255,262.939,0,0
105,0.832,1.226,0.256,-633.362,40.588,334.229,0,0
106,0.822,0.958,0.326,-591.98,49.561,379.517,0,0
107,0.77,0.668,0.453,-585.205,63.477,407.532,0,0
108,0.659,0.54,0.451,-623.535,63.66,437.317,0,0
109,0.511,0.369,0.436,-657.166,55.054,446.655,0,0
110,-0.032,-0.884,0.554,-620.361,-9.399,385.254,0,0
111,-0.293,-2.124,0.674,-306.335,-153.931,240.173,0,0
112,0.002,-2.485,0.384,101.196,-273.804,55.176,0,0
113,0.319,-1.787,0.072,280.518,-296.875,-37.109,0,0
114,0.574,-1.083,-0.065,367.92,-262.573,-106.018,0,0
115,0.725,-0.401,-0.004,339.661,-199.585,-124.023,0,0
116,0.729,-0.247,0.074,293.091,-142.761,-119.69,0,0
117,0.614,-0.18,0.135,279.236,-116.089,-102.783,0,0
118,0.654,-0.22,0.074,294.922,-108.337,-90.942,0,0
119,0.722,-0.146,0.018,331.665,-88.44,-72.998,0,0
120,0.75,0.08,0.009,338.318,-58.228,-56.58,0,0
121,0.73,0.149,0.034,313.416,-31.311,-46.753,0,0
122,0.729,0.161,0.058,294.373,-16.235,-41.077,0,0
123,0.765,0.12,0.108,271.606,7.446,-30.09,0,0
124,0.75,0.105,0.156,247.314,24.597,-22.583,0,0
125,0.687,0.109,0.267,215.149,31.25,-20.386,0,0
126,0.663,0.064,0.292,194.214,27.771,-15.93,0,0
127,0.672,0.041,0.317,186.829,23.865,-13.428,0,0
128,0.688,-0.023,0.318,184.753,19.592,-9.705,0,0
129,0.735,-0.053,0.307,184.387,21.973,-13.123,0,0
130,0.772,-0.024,0.291,177.063,33.63,-17.822,0,0
131,0.781,-0.008,0.296,168.274,45.41,-19.104,0,0
132,0.76,0.01,0.304,147.827,64.331,-18.555,0,0
133,0.694,-0.023,0.352,124.023,77.087,-18.494,0,0
134,0.683,-0.057,0.364,102.173,81.299,-18.433,0,0
135,0.695,-0.098,0.413,84.839,83.618,-21.362,0,0
136,0.668,-0.118,0.424,79.041,84.717,-24.841,0,0
137,0.645,-0.145,0.447,77.759,86.853,-32.349,0,0
138,0.579,-0.15,0.486,75.134,91.37,-38.33,0,0
139,0.527,-0.17,0.506,65.552,97.961,-41.016,0,0
140,0.472,-0.245,0.519,53.04,100.83,-45.349,0,0
141,0.454,-0.299,0.522,43.762,102.051,-50.171,0,0
142,0.471,-0.346,0.532,29.602,106.262,-60.974,0,0
143,0.515,-0.386,0.584,13.733,110.413,-79.346,0,0
144,0.537,-0.385,0.64,-1.16,114.746,-100.464,0,0
145,0.553,-0.342,0.714,-11.108,113.77,-114.014,0,0
146,0.676,-0.113,0.916,-27.039,109.863,-130.432,0,0
147,0.76,0.018,0.986,-38.269,103.088,-134.583,0,0
148,0.858,0.23,1.114,-49.744,90.454,-125.732,0,0
149,0.921,0.267,1.166,-64.148,78.186,-111.938,0,0
150,0.943,0.259,1.204,-71.045,70.557,-104.065,0,0
151,0.976,0.204,1.27,-75.562,62.561,-100.281,0,0
152,0.979,0.246,1.314,-76.233,52.856,-113.892,0,0
153,0.963,0.376,1.382,-72.205,36.194,-124.756,0,0
154,0.937,0.472,1.372,-71.411,21.057,-122.62,0,0
155,0.936,0.547,1.351,-80.261,-2.197,-115.601,0,0
156,0.916,0.57,1.271,-89.355,-21.484,-106.323,0,0
157,0.915,0.583,1.229,-88.806,-36.194,-101.318,0,0
158,0.877,0.579,1.154,-79.712,-47.791,-96.13,0,0
159,0.854,0.582,1.123,-75.073,-53.162,-95.337,0,0
160,0.825,0.578,1.099,-69.763,-60.059,-95.642,0,0
161,0.774,0.598,1.043,-65.979,-66.589,-97.778,0,0
162,0.755,0.598,1.013,-62.439,-71.533,-96.863,0,0
163,0.727,0.598,0.988,-60.669,-74.28,-97.351,0,0
164,0.652,0.557,0.951,-53.833,-79.529,-99.06,0,0
165,0.617,0.533,0.93,-43.335,-83.313,-99.365,0,0
166,0.595,0.543,0.89,-36.377,-83.374,-98.511,0,0
167,0.597,0.563,0.878,-35.583,-80.2,-97.473,0,0
168,0.594,0.59,0.868,-37.415,-76.294,-95.764,0,0
169,0.54,0.583,0.877,-36.438,-77.332,-92.285,0,0
170,0.518,0.587,0.865,-31.677,-80.383,-87.28,0,0
171,0.51,0.615,0.833,-27.588,-87.097,-79.712,0,0
172,0.526,0.625,0.812,-28.198,-90.82,-73.547,0,0
173,0.551,0.629,0.793,-28.442,-90.21,-70.496,0,0
174,0.573,0.623,0.763,-27.161,-85.693,-65.063,0,0
175,0.577,0.618,0.758,-24.414,-80.2,-60.669,0,0
176,0.561,0.616,0.749,-22.522,-76.538,-57.617,0,0
177,0.557,0.623,0.744,-21.057,-75.439,-55.481,0,0
178,0.549,0.627,0.734,-17.212,-77.209,-51.208,0,0
179,0.541,0.604,0.726,-5.127,-81.482,-47.791,0,0
180,0.547,0.605,0.713,9.46,-85.083,-45.044,0,0
181,0.564,0.635,0.679,20.508,-84.717,-41.687,0,0
182,0.57,0.657,0.666,23.804,-81.97,-39.307,0,0
183,0.571,0.678,0.657,25.085,-76.294,-33.325,0,0
184,0.57,0.694,0.628,23.926,-70.251,-26.855,0,0
185,0.576,0.693,0.617,21.912,-64.636,-21.301,0,0
186,0.575,0.679,0.615,23.315,-62.195,-18.127,0,0
187,0.564,0.654,0.61,29.907,-60.364,-10.986,0,0
188,0.554,0.652,0.603,38.269,-60.181,-3.113,0,0
189,0.548,0.654,0.578,43.518,-59.387,2.625,0,0
190,0.555,0.653,0.56,44.434,-55.603,7.324,0,0
191,0.565,0.647,0.544,44.922,-51.941,10.986,0,0
192,0.571,0.635,0.515,45.593,-44.983,15.32,0,0
193,0.579,0.629,0.493,47.668,-37.048,18.738,0,0
194,0.578,0.624,0.446,54.871,-28.625,23.071,0,0
195,0.571,0.63,0.432,61.89,-24.841,26.062,0,0
196,0.556,0.644,0.419,67.81,-23.499,29.358,0,0
197,0.533,0.686,0.397,69.336,-25.208,33.508,0,0
198,0.531,0.7,0.381,70.374,-30.334,39.124,0,1
199,0.563,0.721,0.329,72.937,-35.461,45.898,0,0
200,0.589,0.717,0.292,74.036,-35.339,52.612,0,0
201,0.62,0.706,0.266,75.378,-28.259,62.683,0,0
202,0.639,0.649,0.25,75.378,-14.893,72.937,0,0
203,0.646,0.613,0.246,72.998,-0.305,79.956,0,0
204,0.847,1.129,0.385,-198.669,33.081,-70.435,0,0
205,0.843,1.556,0.322,-350.098,21.79,32.166,0,0
206,0.826,1.646,0.25,-512.451,4.7,150.024,0,0
207,0.849,1.241,0.131,-629.15,7.507,246.948,0,0
208,0.916,0.922,0.092,-663.635,22.461,283.386,0,0
209,0.957,0.719,0.073,-682.739,59.509,323.73,0,0
210,0.803,0.395,0.141,-679.26,86.243,355.896,0,0
211,0.728,0.334,0.178,-692.81,97.046,380.737,0,0
212,0.429,-0.146,0.223,-709.717,84.717,374.817,0,0
213,0.281,-0.701,0.284,-669.067,52.795,344.727,0,0
214,0.125,-1.283,0.398,-495.422,-42.114,246.887,0,0
215,-0.029,-2.32,0.447,-198.914,-150.391,112.671,0,0
216,0.082,-2.179,0.269,100.952,-223.083,-12.939,0,0
217,0.346,-1.52,-0.135,311.707,-239.441,-86.67,0,0
218,0.419,-1.138,-0.181,379.211,-225.342,-110.901,0,0
219,0.408,-0.9,-0.202,408.691,-196.899,-135.62,0,0
220,0.477,-0.674,-0.118,403.687,-158.875,-150.757,0,0
221,0.468,-0.644,-0.076,401.428,-127.686,-152.954,0,0
222,0.498,-0.579,-0.031,396.24,-107.727,-144.836,0,0
223,0.577,-0.356,0.092,374.39,-80.322,-125.427,0,0
224,0.622,-0.255,0.162,336.365,-56.946,-109.009,0,0
225,0.655,-0.202,0.272,302.429,-40.161,-98.022,0,0
226,0.664,-0.191,0.287,285.889,-29.602,-89.05,0,0
227,0.68,-0.177,0.294,282.532,-23.682,-83.923,0,0
