,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Label,Sep
0,-0.083,-0.182,0.588,132.08,-76.904,100.891,0,0
1,-0.052,-0.055,0.929,22.583,-75.317,107.666,0,0
2,0.687,-0.507,0.009,-993.225,125.061,-57.8,0,0
3,-0.175,-2.628,0.206,-595.642,-140.137,4.333,0,0
4,0.021,-2.774,0.208,-52.734,-317.261,-18.86,0,0
5,0.533,-2.003,-0.657,466.614,-373.535,-56.824,0,0
6,0.785,-1.505,-0.992,681.58,-347.595,-66.406,0,0
7,1.021,-1.066,-1.186,806.458,-253.052,-84.106,0,0
8,1.194,-0.196,-0.923,764.526,-151.733,-151.001,0,0
9,1.028,-0.012,-0.86,680.847,-82.031,-211.914,0,0
10,0.776,0.125,-0.452,584.717,-24.414,-233.521,0,0
11,0.797,0.167,-0.239,528.198,6.47,-220.215,0,0
12,0.885,0.271,-0.023,461.121,50.842,-171.936,0,0
13,0.889,0.401,0.301,397.156,84.351,-125.61,0,0
14,0.848,0.469,0.397,323.242,93.018,-107.3,0,0
15,0.849,0.512,0.465,274.109,93.201,-95.642,0,0
16,0.795,0.633,0.609,193.848,99.976,-82.947,0,0
17,0.765,0.651,0.655,125.549,94.299,-73.792,0,0
18,0.733,0.577,0.689,81.665,72.144,-67.383,0,0
19,0.737,0.561,0.681,66.772,43.457,-59.265,0,0
20,0.75,0.556,0.668,67.261,31.433,-51.453,0,0
21,0.803,0.561,0.65,68.481,25.696,-35.4,0,0
22,0.807,0.54,0.64,64.819,30.884,-20.691,0,0
23,0.784,0.502,0.638,57.861,37.476,-7.874,0,0
24,0.766,0.494,0.648,52.49,40.649,1.221,0,0
25,0.736,0.483,0.661,43.274,45.41,9.094,0,0
26,0.667,0.456,0.693,40.649,31.189,3.418,0,0
27,0.654,0.57,0.691,32.471,20.02,1.282,0,0
28,0.578,0.547,0.694,25.208,8.24,3.723,0,0
29,0.604,0.579,0.686,20.569,-0.183,9.521,0,0
30,0.607,0.594,0.664,13.916,-9.949,22.4,0,0
31,0.582,0.584,0.639,14.771,-14.709,39.429,0,0
32,0.567,0.558,0.628,22.583,-15.015,50.659,0,0
33,0.516,0.405,0.591,45.166,-19.592,60.791,0,0
34,0.521,0.38,0.572,60.974,-24.536,64.331,0,0
35,0.527,0.376,0.56,69.946,-28.564,66.65,0,0
36,0.51,0.418,0.554,59.875,-28.015,65.857,0,0
37,0.487,0.414,0.553,47.668,-31.006,68.298,0,0
38,0.489,0.426,0.533,41.138,-35.4,71.106,0,0
39,0.466,0.39,0.482,36.072,-40.039,78.979,0,0
40,0.44,0.364,0.46,34.668,-38.635,87.28,0,0
41,0.396,0.277,0.417,37.292,-34.607,96.375,0,0
42,0.388,0.242,0.394,39.612,-30.64,105.713,0,0
43,0.39,0.207,0.368,37.598,-28.442,111.328,0,0
44,0.404,0.107,0.333,26.367,-25.085,117.554,0,0
45,0.414,0.055,0.321,12.329,-19.348,120.239,0,0
46,0.423,-0.096,0.273,3.54,-14.587,121.826,0,0
47,0.425,-0.164,0.255,1.77,-12.146,118.774,0,0
48,0.443,-0.203,0.227,0.61,-8.972,109.009,0,0
49,0.517,-0.181,0.233,0.61,2.686,96.191,0,0
50,0.547,-0.178,0.236,4.761,17.822,90.881,0,0
51,0.625,-0.153,0.223,8.606,29.175,96.497,0,0
52,0.666,-0.195,0.226,9.888,35.95,104.431,0,0
53,0.682,-0.248,0.231,6.042,39.734,109.375,0,0
54,0.727,-0.359,0.232,-4.517,40.222,104.065,0,0
55,0.742,-0.376,0.225,-16.541,41.565,90.576,0,0
56,0.788,-0.336,0.23,-21.118,52.185,78.064,0,0
57,0.826,-0.337,0.21,-19.775,62.5,77.881,0,0
58,0.903,-0.352,0.205,-17.944,85.754,93.567,0,0
59,0.929,-0.616,0.255,-16.479,101.074,110.718,0,0
60,0.877,-0.744,0.281,-20.203,89.661,101.563,0,0
61,0.829,-0.813,0.302,-25.818,72.266,77.881,0,0
62,0.839,-0.786,0.361,-24.658,53.04,33.081,0,0
63,0.854,-0.791,0.389,-15.808,68.848,10.376,0,0
64,0.992,-0.665,0.341,-13.55,97.412,2.808,0,0
65,1.022,-0.659,0.345,-25.757,122.925,6.042,0,0
66,1.048,-0.644,0.429,-34.912,139.587,-1.099,0,0
67,0.953,-0.615,0.606,-41.199,143.25,-22.461,0,0
68,0.892,-0.584,0.658,-35.4,115.967,-43.335,0,0
69,0.862,-0.53,0.801,-32.227,109.985,-50.354,0,0
70,0.88,-0.496,0.788,-34.424,107.422,-42.725,0,0
71,0.914,-0.527,0.836,-45.959,114.38,-32.41,0,0
72,0.966,-0.656,0.921,-57.068,130.676,-41.748,0,0
73,0.921,-0.742,0.963,-50.72,144.226,-69.214,0,0
74,0.806,-0.819,0.981,-34.546,141.602,-103.027,0,0
75,0.752,-0.76,1.002,-29.785,130.432,-129.028,0,0
76,0.757,-0.594,1.043,-37.659,108.765,-177.49,0,0
77,0.918,-0.259,1.211,-41.626,93.384,-212.646,0,0
78,0.972,-0.142,1.324,-33.081,76.355,-206.055,0,0
79,0.965,-0.043,1.414,-26.978,60.12,-187.561,0,0
80,0.88,0.095,1.423,-32.532,30.273,-162.109,0,0
81,0.873,0.087,1.407,-49.5,13.062,-152.344,0,0
82,0.843,0.045,1.403,-53.955,4.7,-153.748,0,0
83,0.799,0.073,1.366,-48.096,-10.01,-153.87,0,0
84,0.775,0.156,1.324,-43.213,-20.203,-152.039,0,0
85,0.751,0.231,1.27,-32.898,-34.363,-142.09,0,0
86,0.738,0.244,1.253,-25.574,-43.03,-130.31,0,0
87,0.695,0.291,1.227,-22.278,-48.645,-118.958,0,0
88,0.677,0.301,1.236,-18.066,-51.941,-111.145,0,0
89,0.653,0.274,1.244,-9.521,-54.443,-105.469,0,0
90,0.617,0.287,1.225,6.104,-60.974,-95.947,0,0
91,0.626,0.312,1.2,11.719,-63.599,-84.412,0,0
92,0.607,0.375,1.173,4.028,-66.284,-70.862,0,0
93,0.588,0.329,1.166,2.197,-71.655,-61.951,0,0
94,0.585,0.266,1.159,12.878,-80.322,-53.406,0,0
95,0.598,0.175,1.095,32.288,-85.51,-51.88,0,0
96,0.616,0.219,1.032,40.161,-88.074,-51.941,0,0
97,0.638,0.316,0.951,33.813,-85.999,-48.767,0,1
98,0.648,0.357,0.902,23.254,-83.923,-43.396,0,0
99,0.663,0.324,0.887,23.193,-78.857,-38.086,0,0
100,0.619,0.259,0.859,43.457,-75.195,-37.354,0,0
101,0.603,0.275,0.851,66.589,-75.5,-35.461,0,0
102,0.59,0.32,0.825,71.533,-79.712,-32.715,0,0
103,0.712,-0.083,-0.355,-974.548,200.256,122.925,0,0
104,0.552,-0.557,-0.158,-876.526,133.545,52.795,0,0
105,-0.198,-2.88,0.078,-486.023,-54.565,30.212,0,0
106,0.039,-3.252,0.352,127.808,-204.285,-70.618,0,0
107,0.201,-1.899,-0.487,612.305,-309.204,-144.226,0,0
108,0.551,-1.187,-0.801,777.771,-324.219,-162.476,0,0
109,0.908,-0.578,-0.878,852.905,-315.43,-224.243,0,0
110,0.908,0.124,-0.559,768.738,-244.812,-269.958,0,0
111,0.892,0.412,-0.561,624.146,-181.03,-287.964,0,0
112,0.931,0.691,-0.427,511.902,-133.484,-257.08,0,0
113,1.038,1.016,0.03,371.46,-50.476,-155.212,0,0
114,1.086,1.06,0.112,248.535,-1.16,-53.955,0,0
115,0.952,0.923,0.384,133.362,37.354,-9.399,0,0
116,0.907,0.725,0.438,68.787,54.871,15.686,0,0
117,0.863,0.587,0.459,48.767,54.382,27.405,0,0
118,0.762,0.38,0.488,47.119,36.682,37.292,0,0
119,0.729,0.244,0.481,73.73,3.357,39.124,0,0
120,0.756,0.27,0.407,89.722,-28.32,33.386,0,0
121,0.785,0.358,0.365,82.397,-39.246,29.907,0,0
122,0.822,0.465,0.336,45.776,-34.546,30.762,0,0
123,0.737,0.49,0.344,-2.075,-14.954,44.189,0,0
124,0.646,0.401,0.344,-28.625,-1.953,57.8,0,0
125,0.551,0.212,0.33,-23.926,0.0,65.857,0,0
