,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Label,Sep
0,0.509,-0.357,0.866,-261.108,86.914,-15.686,0,0
1,0.549,-0.22,0.889,-227.6,48.34,-33.508,0,0
2,0.23,-1.207,0.762,80.017,-178.711,8.118,0,0
3,0.491,-0.798,0.569,276.306,-212.036,15.503,0,0
4,0.801,-0.222,0.418,352.417,-178.467,25.269,0,0
5,0.805,-0.013,0.448,344.604,-122.437,19.653,0,0
6,0.707,-0.146,0.452,364.197,-107.422,20.996,0,0
7,0.672,-0.198,0.403,421.326,-108.643,3.723,0,0
8,0.694,-0.103,0.329,478.394,-116.821,-18.188,0,0
9,0.768,0.34,0.273,483.093,-107.178,-37.292,0,0
10,0.788,0.503,0.281,461.243,-95.337,-42.358,0,0
11,0.828,0.694,0.299,381.531,-63.293,-37.659,0,0
12,0.888,1.053,0.481,241.577,-10.498,-23.437,0,0
13,0.839,1.088,0.548,87.891,38.513,-9.033,0,0
14,0.746,0.792,0.639,-25.818,61.768,2.563,0,0
15,0.723,0.612,0.66,-65.43,63.11,3.967,0,0
16,0.694,0.455,0.681,-78.247,52.795,-0.732,0,0
17,0.665,0.252,0.7,-48.096,31.311,-8.789,0,0
18,0.677,0.252,0.682,-1.953,5.005,-15.137,0,0
19,0.711,0.325,0.645,19.409,-7.935,-18.066,0,0
20,0.806,0.51,0.556,25.33,-12.878,-19.165,0,0
21,0.835,0.559,0.542,7.08,-3.601,-17.334,0,0
22,0.815,0.487,0.552,-7.263,6.226,-13.184,0,0
23,0.804,0.408,0.568,1.16,6.897,-14.893,0,0
24,0.806,0.349,0.575,15.564,4.333,-20.264,0,0
25,0.828,0.314,0.573,39.917,-0.244,-31.616,0,0
26,0.819,0.39,0.583,49.683,-4.211,-50.842,0,0
27,0.759,0.611,0.626,47.791,-12.024,-69.519,0,0
28,0.726,0.851,0.633,36.743,-17.944,-77.148,0,0
29,0.692,1.168,0.631,2.869,-28.748,-69.031,0,0
30,0.689,1.658,0.626,-34.424,-39.673,-29.968,0,0
31,0.663,1.764,0.632,-53.65,-46.631,25.024,0,0
32,0.548,1.47,0.54,-31.372,-59.143,84.29,0,0
33,0.494,1.26,0.439,0.61,-65.918,115.479,0,0
34,0.497,1.059,0.296,48.096,-52.612,158.203,0,0
35,0.456,0.927,-0.001,56.152,2.197,203.247,0,0
36,0.319,0.739,-0.024,49.866,54.443,227.783,0,0
37,-0.13,0.252,0.098,53.345,65.063,224.976,0,0
38,-0.264,0.093,0.136,57.678,51.88,212.524,0,0
39,-0.298,-0.028,0.162,52.612,30.945,200.562,0,0
40,-0.26,-0.018,0.135,13.794,28.381,200.134,0,0
41,-0.22,-0.156,0.116,-32.166,45.471,198.975,0,0
42,-0.175,-0.371,0.117,-52.979,55.481,190.674,0,0
43,-0.037,-0.7,0.137,-57.8,65.125,167.786,0,0
44,0.052,-0.74,0.174,-47.302,68.176,138.672,0,0
45,0.274,-0.642,0.235,-40.955,69.946,115.173,0,0
46,0.407,-0.605,0.281,-41.748,76.843,103.882,0,0
47,0.539,-0.624,0.329,-42.236,83.069,97.168,0,0
48,0.667,-0.698,0.473,-39.368,88.318,87.158,0,0
49,0.703,-0.741,0.575,-35.706,89.355,77.209,0,0
50,0.768,-0.886,0.713,-37.048,83.801,67.505,0,0
51,0.898,-1.004,0.756,-41.687,81.116,57.312,0,0
52,1.03,-1.059,0.799,-52.429,83.008,26.001,0,0
53,1.206,-1.059,0.867,-59.998,92.163,-8.789,0,0
54,1.274,-0.956,0.891,-65.002,95.764,-36.499,0,0
55,1.339,-0.922,0.905,-71.96,95.398,-50.11,0,0
56,1.363,-1.003,0.923,-76.782,91.248,-63.538,0,0
57,1.395,-1.017,0.967,-73.975,79.285,-96.313,0,0
58,1.499,-0.821,1.081,-54.993,81.177,-141.785,0,0
59,1.487,-0.626,1.141,-26.855,78.918,-160.767,0,0
60,1.394,-0.385,1.213,-29.48,77.698,-169.495,0,0
61,1.25,0.023,1.347,-51.575,63.477,-177.368,0,0
62,1.186,0.126,1.465,-65.552,41.809,-176.758,0,0
63,1.022,0.263,1.549,-50.598,20.386,-170.593,0,0
64,0.948,0.361,1.568,-26.367,-1.282,-163.208,0,0
65,0.893,0.502,1.565,-16.296,-14.16,-155.212,0,0
66,0.799,0.747,1.545,-12.451,-29.968,-138.916,0,0
67,0.714,0.759,1.531,-4.028,-47.241,-117.188,0,0
68,0.585,0.56,1.443,19.409,-68.665,-98.999,0,0
69,0.552,0.537,1.363,42.236,-81.055,-90.027,0,0
70,0.545,0.558,1.289,46.814,-77.454,-87.097,0,0
71,0.403,0.696,1.201,49.011,-78.491,-75.684,0,0
72,0.364,0.73,1.145,51.025,-81.238,-54.932,0,0
73,0.337,0.644,1.03,58.35,-78.796,-35.889,0,0
74,0.307,0.592,0.966,63.721,-75.989,-25.879,0,0
75,0.277,0.58,0.893,64.087,-72.754,-14.099,0,0
76,0.28,0.593,0.758,52.185,-72.021,-4.883,0,0
77,0.286,0.644,0.691,33.875,-72.388,2.625,0,0
78,0.323,0.633,0.618,22.278,-72.571,15.137,0,0
79,0.327,0.526,0.596,29.114,-70.923,23.499,0,0
80,0.335,0.427,0.581,52.49,-67.139,31.86,0,0
81,0.366,0.354,0.526,75.562,-62.256,35.461,0,0
82,0.398,0.384,0.501,78.491,-55.054,35.156,0,0
83,0.412,0.427,0.497,71.228,-52.612,35.583,0,0
84,0.419,0.385,0.467,54.81,-52.185,40.222,0,0
85,0.42,0.333,0.443,40.955,-51.392,45.044,0,0
86,0.449,0.185,0.378,35.217,-49.072,48.096,0,0
87,0.466,0.135,0.346,33.081,-46.57,48.34,0,0
88,0.485,0.114,0.322,33.203,-44.373,47.729,0,0
89,0.531,0.075,0.285,35.278,-39.001,49.438,0,0
90,0.576,0.042,0.277,37.231,-30.518,51.331,0,0
91,0.605,-0.01,0.267,36.865,-27.222,48.828,0,0
92,0.614,-0.003,0.265,34.302,-27.832,46.021,0,0
93,0.651,-0.007,0.262,26.978,-26.978,44.8,0,0
