,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Label,Sep
0,0.526,-1.148,0.403,-30.396,-56.213,-166.443,0,0
1,0.57,-1.069,0.343,-31.067,-62.134,-177.307,0,0
2,1.004,0.552,0.382,-513.611,148.499,196.655,0,0
3,0.872,0.384,0.261,-645.569,167.114,221.252,0,0
4,0.687,-0.125,-0.074,-801.453,182.251,234.436,0,0
5,0.627,-0.391,-0.232,-882.019,192.078,226.99,0,0
6,0.513,-0.925,-0.293,-873.718,183.35,201.416,0,0
7,0.375,-1.51,-0.116,-684.509,89.844,123.23,0,0
8,0.23,-2.213,0.09,-460.571,12.39,66.406,0,0
9,0.178,-2.578,0.273,-43.823,-114.136,-30.518,0,0
10,0.323,-2.221,0.125,301.086,-188.049,-98.511,0,0
11,0.677,-1.284,-0.22,511.963,-188.782,-142.7,0,0
12,0.848,-0.929,-0.235,564.209,-172.791,-170.776,0,0
13,0.856,-0.604,-0.181,531.799,-151.978,-199.646,0,0
14,0.794,-0.248,-0.06,450.256,-133.972,-207.397,0,0
15,0.804,-0.136,0.02,360.046,-111.816,-191.772,0,0
16,0.879,-0.057,0.173,288.696,-89.539,-167.236,0,0
17,0.902,-0.056,0.228,253.113,-76.477,-149.597,0,0
18,0.922,-0.071,0.269,222.412,-58.655,-125.305,0,0
19,0.908,-0.06,0.34,213.196,-46.021,-103.699,0,0
20,0.895,-0.039,0.363,214.172,-41.443,-85.571,0,0
21,0.873,0.034,0.388,212.646,-41.077,-67.627,0,0
22,0.873,0.068,0.387,207.764,-40.588,-57.129,0,0
23,0.876,0.097,0.382,196.167,-38.208,-44.128,0,0
24,0.853,0.141,0.357,178.345,-34.363,-30.884,0,0
25,0.837,0.145,0.344,156.86,-29.602,-16.785,0,0
26,0.818,0.144,0.329,142.029,-26.062,-7.263,0,0
27,0.801,0.116,0.306,122.62,-19.348,5.432,0,0
28,0.798,0.101,0.295,109.009,-9.766,15.991,0,0
29,0.773,0.046,0.276,100.952,1.099,25.635,0,0
30,0.761,0.017,0.277,96.68,11.169,33.386,0,0
31,0.746,-0.023,0.279,95.52,16.541,37.354,0,0
32,0.725,-0.083,0.296,96.436,23.132,40.955,0,0
33,0.714,-0.106,0.305,99.243,26.672,43.335,0,0
34,0.705,-0.127,0.309,100.647,28.015,45.166,0,0
35,0.699,-0.136,0.305,99.854,28.137,45.837,0,0
36,0.695,-0.146,0.301,96.802,28.748,46.692,0,0
37,0.681,-0.171,0.28,91.553,28.015,46.143,0,0
38,0.676,-0.201,0.281,86.06,31.311,46.509,0,0
39,0.674,-0.247,0.276,83.801,38.574,47.058,0,0
40,0.675,-0.28,0.281,83.74,45.593,47.119,0,0
41,0.676,-0.292,0.283,83.496,56.824,44.495,0,0
42,0.667,-0.287,0.281,80.566,66.223,36.743,0,0
43,0.661,-0.286,0.284,76.782,72.693,26.367,0,0
44,0.662,-0.296,0.299,76.721,75.684,20.02,0,0
45,0.677,-0.299,0.322,80.566,80.383,10.803,0,0
46,0.688,-0.296,0.341,86.853,88.745,4.639,0,0
47,0.709,-0.257,0.382,89.355,99.792,-0.183,0,0
48,0.702,-0.23,0.393,83.496,108.032,-3.418,0,0
49,0.703,-0.196,0.402,74.707,111.511,-7.324,0,0
50,0.703,-0.171,0.447,60.364,115.662,-11.536,0,0
51,0.705,-0.158,0.472,49.133,117.676,-16.357,0,0
52,0.71,-0.209,0.564,50.171,122.009,-18.921,0,0
53,0.694,-0.22,0.612,58.167,128.54,-21.912,0,0
54,0.687,-0.229,0.666,64.087,132.812,-25.757,0,0
55,0.662,-0.192,0.769,66.345,137.634,-31.25,0,0
56,0.649,-0.17,0.832,60.974,140.503,-37.903,0,0
57,0.599,-0.102,0.935,45.227,135.742,-43.274,0,0
58,0.571,-0.081,0.966,33.264,126.648,-43.396,0,0
